min_contacts,min_channel_frac,max_channel_frac,max_mean_dist,max_dist,min_area,max_area,max_fill,min_ring_bg,max_ring_fg,min_cut_slenderness,min_cut_mean_image,max_cut_p90_grad,max_rank,top_k_per_image,num_rows,num_images,num_safe_useful,num_risk,safe_rate,risk_rate,mean_delta_dice,mean_delta_iou,mean_delta_recall,mean_delta_boundary_iou,mean_delta_boundary_f1,mean_delta_gap_region_fp_rate,mean_delta_component_count_mae,mean_delta_merged_pred_components,mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_cut_area,mean_cut_mean_dist_in,mean_cut_bg_channel_frac_after,mean_cut_bg_channel_border_contacts_after,passes_gate
4,0.1,0.5,1.55,3.0,8,24,0.5,0.45,0.6,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.5,1.55,3.0,8,24,0.5,0.45,0.6,2.0,0.55,,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.5,1.55,3.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.5,1.55,3.0,8,24,0.5,0.45,0.75,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.5,1.55,3.0,8,24,0.5,0.45,0.75,2.0,0.55,,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.5,1.55,3.0,8,24,0.5,0.45,0.75,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.5,1.75,2.0,8,24,0.5,0.45,0.6,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.5,1.75,2.0,8,24,0.5,0.45,0.6,2.0,0.55,,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.5,1.75,2.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.5,1.75,2.0,8,24,0.5,0.45,0.75,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.5,1.75,2.0,8,24,0.5,0.45,0.75,2.0,0.55,,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.5,1.75,2.0,8,24,0.5,0.45,0.75,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.5,1.75,3.0,8,24,0.5,0.45,0.6,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.5,1.75,3.0,8,24,0.5,0.45,0.6,2.0,0.55,,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.5,1.75,3.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.5,1.75,3.0,8,24,0.5,0.45,0.75,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.5,1.75,3.0,8,24,0.5,0.45,0.75,2.0,0.55,,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.5,1.75,3.0,8,24,0.5,0.45,0.75,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.55,2.0,8,24,0.5,0.45,0.6,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.55,2.0,8,24,0.5,0.45,0.6,2.0,0.55,,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.55,2.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.55,2.0,8,24,0.5,0.45,0.75,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.55,2.0,8,24,0.5,0.45,0.75,2.0,0.55,,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.55,2.0,8,24,0.5,0.45,0.75,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.55,3.0,8,24,0.5,0.45,0.6,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.55,3.0,8,24,0.5,0.45,0.6,2.0,0.55,,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.55,3.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.55,3.0,8,24,0.5,0.45,0.75,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.55,3.0,8,24,0.5,0.45,0.75,2.0,0.55,,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.55,3.0,8,24,0.5,0.45,0.75,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.75,2.0,8,24,0.5,0.45,0.6,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.75,2.0,8,24,0.5,0.45,0.6,2.0,0.55,,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.75,2.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.75,2.0,8,24,0.5,0.45,0.75,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.75,2.0,8,24,0.5,0.45,0.75,2.0,0.55,,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.75,2.0,8,24,0.5,0.45,0.75,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.75,3.0,8,24,0.5,0.45,0.6,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.75,3.0,8,24,0.5,0.45,0.6,2.0,0.55,,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.75,3.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.75,3.0,8,24,0.5,0.45,0.75,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.75,3.0,8,24,0.5,0.45,0.75,2.0,0.55,,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.1,0.65,1.75,3.0,8,24,0.5,0.45,0.75,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,,1.55,2.0,8,24,0.5,0.45,0.6,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,,1.55,2.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,,1.55,2.0,8,24,0.5,0.45,0.75,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,,1.55,2.0,8,24,0.5,0.45,0.75,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,,1.55,3.0,8,24,0.5,0.45,0.6,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,,1.55,3.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,,1.55,3.0,8,24,0.5,0.45,0.75,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,,1.55,3.0,8,24,0.5,0.45,0.75,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,,1.75,2.0,8,24,0.5,0.45,0.6,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,,1.75,2.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,,1.75,2.0,8,24,0.5,0.45,0.75,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,,1.75,2.0,8,24,0.5,0.45,0.75,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,,1.75,3.0,8,24,0.5,0.45,0.6,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,,1.75,3.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,,1.75,3.0,8,24,0.5,0.45,0.75,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,,1.75,3.0,8,24,0.5,0.45,0.75,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,0.5,1.55,2.0,8,24,0.5,0.45,0.6,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,0.5,1.55,2.0,8,24,0.5,0.45,0.6,2.0,0.55,,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,0.5,1.55,2.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,0.5,1.55,2.0,8,24,0.5,0.45,0.75,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,0.5,1.55,2.0,8,24,0.5,0.45,0.75,2.0,0.55,,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,0.5,1.55,2.0,8,24,0.5,0.45,0.75,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,0.5,1.55,3.0,8,24,0.5,0.45,0.6,2.0,0.0,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,0.5,1.55,3.0,8,24,0.5,0.45,0.6,2.0,0.55,,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
4,0.2,0.5,1.55,3.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,3,3,2,2,0.6666666666666666,0.6666666666666666,9.990600280643332e-05,0.00015071932418456667,-8.418067831899999e-05,-0.0002446625292993751,-0.00032436957329486066,-0.0005910617474602,0.0,0.0,0.2638888888888889,0.6406565656565656,22.0,1.3929016715045759,0.4248098075469247,4.0,False
